,g_sim,g_fit
241,12.7,13.739916
242,13.3,13.823355
243,13.6,13.68881
244,11.8,11.812565
245,11.6,11.631849
246,12.7,13.521389
247,14.8,13.827045
248,12.1,12.026233
249,11.6,11.335014
250,13.7,13.919586
251,11.2,11.0
252,11.2,11.0
253,13.9,13.902772
254,12.4,12.491175
255,12.5,12.417605
256,14.5,13.709239
257,13.1,13.604969
258,14.4,13.712388
259,11.3,11.0
260,13.1,13.7922735
261,11.6,11.585968
262,12.8,13.438074
263,13.7,13.881527
264,11.7,11.621824
265,11.5,11.291231
266,12.5,12.47356
267,13.6,13.974931
268,14.4,13.813634
269,14.9,14.027917
270,12.7,13.209681
271,14.1,13.476398
272,12.2,12.121932
273,11.8,11.649154
274,13.2,13.827351
275,14.5,13.791101
276,13.9,13.660947
277,13.8,13.995852
278,12.3,12.267007
279,14.2,13.915019
280,12.1,11.99547
281,13.6,13.262158
282,11.7,11.6847315
283,11.6,11.456066
284,12.3,12.169138
285,14.5,13.960945
286,14.7,13.783625
287,13.8,13.8135395
288,13.6,13.563711
289,12.1,12.016401
290,12.7,13.035163
291,13.5,13.780342
292,11.7,11.647107
293,11.1,11.0
294,14.6,13.710219
295,11.5,11.378758
296,13.8,13.65926
297,11.9,11.961481
298,13.0,13.526876
299,13.7,13.605263
300,11.1,11.26831
301,14.1,13.728933
302,12.3,12.248516
303,11.7,11.592124
304,14.4,13.958392
305,13.0,13.861337
306,12.3,12.504862
307,14.8,14.088718
308,11.1,11.032913
309,11.2,11.236081
310,11.3,11.329529
311,11.3,11.463848
312,13.6,13.429122
313,11.1,11.0
314,11.1,11.0
315,12.3,12.230754
316,13.8,13.834576
317,13.0,13.84805
318,11.8,11.866856
319,14.5,14.064378
320,12.8,13.45016
321,13.1,13.572359
322,12.0,11.9645195
323,11.5,11.44864
324,13.3,13.679937
325,12.8,13.028591
326,13.1,13.545643
327,12.8,13.115573
328,11.2,11.042805
329,13.0,13.461876
330,13.3,13.908372
331,13.6,13.927368
332,14.4,13.8391285
333,13.4,13.977104
334,13.1,13.3732395
335,13.8,13.624394
336,12.6,13.041712
337,12.2,12.170772
338,13.2,13.79479
339,12.0,12.003229
340,12.0,11.928445
341,13.2,13.54497
342,13.6,13.7659855
343,12.7,13.418183
344,12.0,11.729238
345,11.3,11.396163
346,12.9,13.839649
347,12.6,12.449163
348,11.5,11.400301
349,13.1,13.73247
350,11.8,11.763829
351,12.6,13.415356
352,11.3,11.188145
353,13.1,13.535603
354,14.3,13.749871
355,12.7,13.63718
356,12.9,13.559776
357,11.6,11.559382
358,14.8,13.750231
359,12.1,12.126747
360,11.1,11.14714
361,11.3,11.475886
362,11.8,11.814322
363,13.2,13.861641
364,11.9,11.948958
365,14.5,13.236932
366,14.2,13.646901
367,12.2,12.132764
368,14.5,14.002906
369,14.1,13.666466
370,13.3,13.574956
371,13.9,13.735043
372,13.9,13.970286
373,11.2,11.0
374,13.6,13.952537
375,12.4,12.383107
376,14.4,13.988913
377,13.8,13.967393
378,11.0,11.0
379,11.3,11.238865
380,13.1,14.00588
381,13.2,13.412086
382,14.2,13.875902
383,11.8,11.841654
384,13.2,13.975716
385,11.6,11.6293545
386,12.2,12.182133
387,11.5,11.299983
388,13.4,13.618532
389,13.6,13.936363
390,14.5,13.949641
391,11.8,11.917886
392,12.2,12.164746
393,14.7,13.897961
394,14.3,13.45894
395,12.5,13.107846
396,12.9,13.420651
397,12.6,13.018708
398,13.0,13.719714
399,13.7,13.964535
400,13.0,13.400726
401,14.5,13.851972
402,12.2,12.212939
403,11.2,11.125787
404,14.7,13.94012
405,14.0,13.9313755
406,11.7,11.665339
407,13.1,13.85212
408,13.1,13.881677
409,13.3,13.876883
410,13.7,13.871996
411,12.5,12.348235
412,13.5,13.174677
413,12.4,12.409851
414,11.6,11.460505
415,12.8,13.7974415
416,11.6,11.474946
417,13.3,13.898319
418,13.0,13.2045355
419,12.8,13.689554
420,11.7,11.571775
421,12.3,12.226097
422,14.1,13.469181
423,12.5,12.525179
424,11.3,11.418465
425,12.4,12.224559
426,12.1,12.08769
427,13.3,13.519755
428,14.7,13.441931
429,12.7,13.158259
430,11.8,11.860697
431,13.6,13.992985
432,14.7,13.916563
433,13.5,13.931419
434,13.5,13.323806
435,12.4,12.241951
436,14.7,13.808102
437,13.3,13.687386
438,13.1,13.806959
439,11.1,11.0
440,11.5,11.350382
441,13.3,13.926655
442,11.0,11.0
443,12.8,13.698336
444,12.0,11.983735
445,13.1,13.830898
446,12.1,12.122766
447,13.5,13.822596
448,13.7,13.755701
449,14.8,13.65794
450,13.0,13.56384
451,13.9,13.915096
452,11.9,11.924384
453,14.4,13.916649
454,15.0,13.8180685
455,12.1,12.70483
456,12.0,12.010377
457,12.6,12.725618
458,11.5,11.135662
459,11.0,11.3807
460,14.0,13.891529
461,11.9,11.864581
462,14.5,13.803062
463,15.0,13.286485
464,11.6,11.462156
465,12.7,13.4788475
466,14.6,13.875125
467,11.5,11.484923
468,14.9,13.888693
469,12.3,12.199796
470,11.9,11.814511
471,13.5,14.003883
472,13.1,13.638239
473,14.4,13.975162
474,14.6,13.876009
475,12.8,13.505066
476,12.2,12.118155
477,11.3,11.657312
478,12.8,13.229659
479,12.8,13.371556
480,12.5,12.448121
481,12.4,12.346806
482,11.4,11.316095
483,12.4,12.563438
484,13.6,13.900178
485,13.3,13.478737
486,13.2,13.59687
487,13.0,13.621939
488,13.1,13.492313
489,12.7,12.973168
490,11.3,11.0
491,14.3,14.082197
492,11.9,11.80909
493,11.8,11.821112
494,12.9,13.616499
495,11.2,11.10114
496,14.4,13.743205
497,11.7,11.696181
498,12.3,12.258532
499,12.5,12.552241
500,12.8,13.473646
501,11.2,11.220428
502,14.3,13.845745
503,14.3,13.620209
504,14.7,13.7049675
505,13.9,13.898134
506,14.2,13.663937
507,13.8,13.460422
508,11.7,11.734782
509,14.1,14.025944
510,12.6,12.797106
511,13.0,13.830652
512,11.6,11.496905
513,14.9,14.052675
514,12.1,12.078012
515,13.8,13.88163
516,14.7,13.947252
517,11.9,11.952749
518,14.9,13.913484
519,14.3,14.006322
520,13.2,13.787135
521,13.1,13.897417
522,13.5,13.980923
523,13.1,13.937368
524,13.3,13.590972
525,12.8,13.778543
526,14.4,13.982843
527,12.1,12.508993
528,11.1,11.0
529,14.7,14.014316
530,15.0,13.925534
531,13.7,13.953312
532,13.3,13.994997
533,12.7,13.347494
534,11.3,11.276464
535,13.6,13.967035
536,12.3,12.237066
537,14.6,13.884005
538,12.2,12.204833
539,14.3,13.547141
540,11.7,11.579881
541,13.0,13.707409
542,13.5,13.447702
543,11.5,11.407225
544,13.4,13.656418
545,13.0,14.029962
546,12.0,12.06098
547,12.1,12.069897
548,11.9,11.967792
549,11.5,11.530497
550,13.6,13.649378
551,13.2,13.970493
552,14.0,14.029214
553,13.1,13.8842125
554,14.7,13.6051655
555,14.5,13.822083
556,12.4,12.32777
557,11.4,11.45223
558,11.3,11.529438
559,13.5,13.91509
560,11.5,11.465572
561,11.4,11.328848
562,13.7,13.968943
563,12.8,14.085489
564,11.3,11.573118
565,14.4,13.980938
566,13.5,13.425567
567,14.1,13.794806
568,14.5,14.0225525
569,14.1,13.862865
570,14.2,13.726128
571,13.8,13.31636
572,12.5,12.536796
573,14.0,13.751005
574,12.2,12.17538
575,14.2,13.767319
576,11.6,11.469313
577,14.3,13.9113655
578,14.5,13.902957
579,13.6,13.85907
580,11.1,11.103521
581,11.0,11.045847
582,12.4,12.561384
583,12.8,13.647833
584,11.6,11.0
585,11.0,11.030979
586,11.3,11.0
587,14.0,13.335432
588,13.5,13.641869
589,11.3,11.337664
590,13.6,13.730574
591,14.8,14.057571
592,11.1,11.0
593,11.9,11.947832
594,12.5,12.392744
595,13.4,13.891272
596,11.2,11.1798525
597,11.3,11.410929
598,13.8,13.995494
599,12.9,13.469815
600,11.6,11.388963
601,12.1,12.056759
602,11.9,11.803496
603,12.7,13.47875
604,13.3,13.815775
605,12.1,12.04235
606,13.9,13.800299
607,12.6,12.867609
608,13.8,13.379427
609,12.0,11.973016
610,12.7,13.627434
611,14.7,13.9534855
612,13.0,13.766353
613,13.0,14.044396
614,11.4,11.0
615,14.7,13.311861
616,14.4,13.746197
617,13.1,14.044876
618,13.5,13.663055
619,13.5,13.841097
620,12.7,13.086314
621,11.3,11.449659
622,11.2,11.216307
623,12.0,12.020758
624,13.0,13.455785
625,14.5,13.922413
626,11.9,11.866641
627,12.5,12.519127
628,13.4,13.934782
629,11.1,11.134612
630,12.1,12.111153
631,11.2,11.226606
632,12.1,12.0561495
633,11.1,11.05621
634,13.3,13.515807
635,14.9,13.946007
636,14.9,13.853474
637,11.7,11.575855
638,12.7,12.765038
639,13.5,13.664892
640,11.9,11.846678
641,11.2,11.197496
642,13.7,13.846324
643,13.4,13.806704
644,12.5,12.338869
645,13.3,13.764091
646,14.3,13.850296
647,11.5,11.525316
648,11.9,11.789299
649,14.1,13.766291
650,11.5,11.43105
651,14.2,13.996054
652,13.6,13.805405
653,13.5,13.547817
654,12.9,13.576941
655,14.6,13.92551
656,13.1,13.818338
657,11.2,11.295229
658,13.3,13.725549
659,14.0,13.594275
660,14.4,13.665901
661,13.9,13.681231
662,14.1,13.4038925
663,11.5,11.541994
664,14.9,13.5877075
665,11.7,11.55919
666,13.5,13.553728
667,12.3,12.470688
668,12.5,13.339701
669,12.0,12.021876
670,13.9,13.277255
671,13.6,14.1353
672,13.4,13.308714
673,11.1,11.0
674,11.5,11.398013
675,13.7,13.473497
676,11.9,11.865933
677,12.9,13.322809
678,14.0,13.824335
679,13.5,13.858686
680,14.2,13.853376
681,12.9,13.493598
682,11.6,11.0
683,13.0,13.645987
684,14.3,13.808062
685,11.9,11.8451395
686,13.6,13.776371
687,12.5,12.600481
688,12.1,12.114525
689,12.5,12.80603
690,11.7,11.627373
691,12.5,12.386874
692,12.0,11.952985
693,13.4,13.350738
694,11.7,11.499746
695,13.1,13.396479
696,14.9,13.710362
697,12.8,13.848399
698,12.5,12.296574
699,14.4,13.911769
700,11.5,11.350263
701,13.6,13.937499
702,12.6,12.790879
703,13.5,14.019356
704,13.5,13.959669
705,13.0,13.701277
706,12.6,12.642252
707,14.8,13.967461
708,11.3,11.245063
709,13.5,13.745839
710,13.4,13.961276
711,14.8,14.04933
712,13.3,13.884861
713,12.3,12.329974
714,13.4,14.017697
715,11.0,11.634309
716,13.1,13.73467
717,11.7,11.0
718,12.9,13.692901
719,12.5,12.359983
720,14.4,14.009906
721,13.6,13.814772
722,12.2,13.286539
723,12.7,13.841129
724,14.5,14.00827
725,13.8,13.991197
726,11.6,11.564877
727,11.4,11.557053
728,13.6,13.434799
729,11.0,11.0
730,13.4,13.735612
731,14.7,13.898784
732,11.4,11.32341
733,13.4,13.974304
734,14.1,13.575483
735,11.1,11.0
736,14.8,13.594572
737,11.9,11.874212
738,12.4,12.317755
739,14.8,13.872792
740,13.7,14.040308
741,11.2,11.29914
742,14.1,13.796551
743,12.1,12.040396
744,12.3,12.221752
745,13.6,13.9164915
746,11.2,11.134363
747,11.4,11.266996
748,11.4,11.307504
749,14.0,13.895822
750,12.1,12.066596
751,13.8,13.949839
752,12.6,12.980288
753,13.3,13.955914
754,13.6,13.865596
755,14.8,13.718637
756,13.8,14.0027485
757,12.8,13.852044
758,14.6,13.967646
759,14.2,14.133723
760,14.4,13.8193
761,12.7,13.594167
762,11.6,11.503362
763,12.4,12.347023
764,12.1,12.056021
765,13.1,13.973565
766,14.5,13.833778
767,13.0,13.754056
768,14.9,13.68742
769,11.1,11.0
770,14.5,14.044822
771,11.3,11.125002
772,11.6,11.503155
773,11.7,11.655843
774,13.7,13.914517
775,11.1,11.23709
776,11.5,11.571108
777,11.5,11.296771
778,13.7,13.951125
779,13.1,13.109042
780,12.4,12.355127
781,14.1,13.898976
782,12.9,13.593334
783,12.8,12.834211
784,13.6,13.570354
785,14.1,13.927456
786,11.4,11.446009
787,11.8,11.820998
788,13.1,13.951989
789,13.4,13.587452
790,13.2,13.79986
791,13.5,13.657551
792,11.2,11.253078
793,12.9,13.999878
794,12.9,14.022217
795,12.3,12.3895645
796,14.5,13.766452
797,12.5,12.978525
798,14.9,13.955619
799,13.1,13.20422
800,12.7,12.87335
801,12.8,13.077372
802,14.0,13.924161
803,12.2,12.208484
804,12.1,12.137355
805,14.0,13.95562
806,11.6,11.555267
807,14.3,13.988527
808,12.2,12.219689
809,11.6,11.539232
810,11.7,11.606397
811,14.7,13.558115
812,12.8,13.859021
813,12.5,13.028748
814,13.5,14.07744
815,11.1,11.354093
816,12.2,12.156466
817,14.5,14.051355
818,13.7,13.8190775
819,13.9,13.790492
820,11.4,11.228632
821,13.6,13.6800785
822,14.1,13.718222
823,12.4,12.268826
824,11.8,11.0
825,12.4,12.227278
826,11.8,11.667826
827,11.7,11.62786
828,14.0,13.83416
829,13.5,13.637516
830,11.7,11.505256
831,13.3,13.965467
832,11.4,11.144986
833,13.3,13.718041
834,14.5,13.995701
835,13.0,14.009355
836,11.2,11.0
837,12.8,13.961024
838,14.7,13.854097
839,14.1,14.082023
840,12.0,11.956605
841,14.8,13.698169
842,12.6,13.680641
843,11.1,11.0
844,11.4,11.375846
845,13.2,13.959502
846,14.5,13.529888
847,11.6,11.797973
848,12.1,12.048311
849,12.3,12.581062
850,14.1,13.745268
851,11.5,11.0
852,11.4,11.341023
853,14.9,14.077166
854,13.8,14.02392
855,13.6,13.60911
856,12.0,12.011502
857,11.4,11.359598
858,13.2,13.83538
859,13.5,13.87243
860,12.3,12.198152
861,13.2,13.768325
862,13.0,13.922302
863,14.5,13.983552
864,14.0,13.605385
865,13.5,13.918266
866,13.2,13.213553
867,12.5,12.355615
868,11.8,11.76071
869,12.8,13.549234
870,14.9,13.852422
871,13.0,13.853662
872,14.1,13.94057
873,11.9,11.908557
874,13.3,13.974564
875,11.2,11.051742
876,13.2,13.601482
877,13.4,13.690401
878,13.1,13.857685
879,12.4,12.426746
880,14.6,14.05656
881,12.4,12.345235
882,13.7,13.642798
883,14.4,13.79579
884,11.7,11.610699
885,13.5,14.065954
886,11.0,11.155232
887,11.7,11.439595
888,13.9,13.400724
889,13.9,13.887154
890,14.1,13.736928
891,13.9,14.008617
892,13.4,13.818153
893,11.7,11.600747
894,14.1,13.526177
895,13.8,13.831545
896,12.5,12.381359
897,12.3,12.283405
898,14.6,13.692389
899,12.2,12.246202
900,14.9,13.591385
901,12.2,12.553287
902,11.4,11.389689
903,14.4,13.539061
904,12.8,13.529697
905,12.3,12.230314
906,11.7,11.629654
907,12.6,13.479995
908,11.9,11.868481
909,14.6,14.001476
910,12.7,13.404873
911,13.1,13.638133
912,11.0,11.0
913,12.7,13.473272
914,14.8,13.68557
915,14.8,13.962264
916,13.1,13.975178
917,12.2,12.163071
918,14.4,13.867914
919,11.6,11.289769
920,13.3,14.093002
921,11.8,11.879702
922,11.7,11.595922
923,11.2,11.0
924,12.9,13.49003
925,11.6,11.494905
926,14.5,13.620459
927,14.2,14.190991
928,12.4,12.376405
929,12.3,12.262791
930,14.6,14.025747
931,11.1,11.0
932,12.2,12.131972
933,14.3,13.751568
934,14.4,13.548132
935,12.1,12.156542
936,12.9,13.753305
937,14.2,13.614778
938,14.1,13.352932
939,14.9,14.029144
940,12.3,12.374429
941,13.8,13.636684
942,13.7,13.668543
943,14.1,13.898495
944,12.6,12.752384
945,13.3,13.803231
946,12.9,13.409723
947,11.5,11.3890295
948,13.1,13.210878
949,11.8,11.774754
950,12.6,12.4706135
951,11.9,11.889912
952,11.4,11.323042
953,15.0,14.007919
954,14.0,13.839784
955,11.3,11.260356
956,14.4,13.832396
957,12.0,12.002606
958,13.3,13.864045
959,11.5,11.461989
960,12.1,12.059392
961,12.5,12.456115
962,12.6,13.117024
963,13.7,13.952733
964,14.0,13.8341255
965,12.6,13.713311
966,11.4,11.481132
967,12.3,12.856539
968,14.3,14.039299
969,14.3,13.894185
970,14.7,14.240416
971,11.6,11.596298
972,11.3,11.272662
973,13.9,13.97798
974,14.8,13.700109
975,12.7,13.563408
976,14.1,13.520839
977,14.7,13.916611
978,11.1,11.107617
979,11.5,11.353804
980,12.6,13.046645
981,11.5,11.462527
982,13.9,13.904949
983,13.9,13.889933
984,13.4,14.010321
985,12.3,12.3657055
986,12.4,12.433043
987,14.9,13.737994
988,14.6,13.838814
989,14.2,13.828237
990,14.5,13.768171
991,14.2,13.908806
992,11.4,11.279391
993,12.5,12.404871
994,14.7,14.042826
995,11.6,11.556805
996,14.2,14.097918
997,12.6,13.080191
998,12.3,12.318991
999,12.6,12.89596
1000,11.5,11.231635
1001,13.7,13.912102
1002,12.0,11.932904
1003,13.5,13.838371
1004,12.7,13.3478985
1005,11.1,11.0
1006,14.2,13.763872
1007,11.1,11.0
1008,13.3,13.890547
1009,11.5,11.46094
1010,11.6,11.577135
1011,14.6,13.885849
1012,11.5,11.428646
1013,13.1,13.908206
1014,12.0,11.934735
1015,12.3,12.284447
1016,14.4,13.34414
1017,14.6,13.344159
1018,13.4,14.024342
1019,14.9,13.511643
1020,13.0,14.173373
1021,13.9,13.57494
1022,13.7,13.240365
1023,11.8,11.790494
1024,12.9,13.914046
1025,11.9,11.805741
1026,12.0,11.972977
1027,14.4,14.024475
1028,14.2,13.791165
1029,14.5,13.649723
1030,14.2,13.958393
1031,11.8,11.787129
1032,12.5,12.430583
1033,11.2,11.0
1034,14.8,13.956685
1035,14.0,13.756277
1036,12.6,12.769499
1037,14.5,13.789885
1038,12.7,13.56718
1039,12.5,12.885745
1040,13.4,13.818382
1041,12.0,12.002195
1042,14.5,13.909876
1043,13.5,13.937374
1044,12.9,13.811833
1045,14.7,13.755041
1046,14.8,13.682458
1047,14.1,13.588608
1048,13.0,14.006128
1049,13.0,13.352374
1050,14.2,13.960845
1051,13.0,13.821192
1052,12.4,12.198416
1053,12.2,12.128825
1054,13.9,13.836016
1055,13.8,13.62837
1056,12.9,13.530643
1057,13.1,12.64321
1058,12.2,12.1303425
1059,13.8,14.025845
1060,14.5,13.859682
1061,13.9,13.709304
1062,14.0,13.657871
1063,11.6,11.62529
1064,14.9,13.4711895
1065,12.6,13.18542
1066,12.0,11.954716
1067,12.5,13.00074
1068,11.1,11.229325
1069,14.8,13.7946415
1070,11.4,11.34097
1071,13.6,13.982886
1072,11.9,11.915261
1073,14.9,13.90733
1074,13.7,13.489173
1075,12.8,13.173935
1076,12.3,12.191477
1077,12.1,12.062144
1078,14.8,13.85961
1079,11.2,11.0
1080,14.8,13.904347
1081,11.7,11.584705
1082,11.5,11.320525
1083,13.9,13.8528595
1084,14.2,13.9583845
1085,13.8,13.892824
1086,11.1,11.177346
1087,14.7,13.6560545
1088,11.9,11.897004
1089,12.9,13.736431
1090,12.4,12.359385
1091,13.9,13.143655
1092,14.2,13.604778
1093,14.6,13.99671
1094,12.4,12.275859
1095,11.8,11.711409
1096,13.0,13.874976
1097,12.5,12.448192
1098,13.9,13.901145
1099,12.2,12.215249
1100,12.5,12.349496
1101,15.0,13.764135
1102,12.5,13.077677
1103,13.5,13.984458
1104,13.5,13.818984
1105,13.4,13.921015
1106,14.3,13.786192
1107,13.4,13.49591
1108,13.7,13.33821
1109,13.9,13.859426
1110,11.2,11.160975
1111,14.4,13.752916
1112,14.7,13.932104
1113,13.3,13.695652
1114,13.0,13.515587
1115,11.5,11.428141
1116,14.3,13.950734
1117,14.7,13.683882
1118,13.8,13.87377
1119,11.3,11.165288
1120,12.4,12.413221
1121,13.1,13.9580145
1122,11.8,11.771336
1123,11.2,11.376969
1124,13.6,14.079872
1125,12.2,12.258921
1126,14.6,13.83578
1127,14.0,13.67939
1128,13.9,13.246531
1129,14.9,13.556711
1130,14.4,13.990651
1131,13.4,13.960645
1132,12.4,12.415912
1133,11.8,11.870061
1134,12.8,13.136727
1135,13.4,13.9098015
1136,12.3,12.584602
1137,11.0,11.242402
1138,14.7,13.759667
1139,12.6,13.013016
1140,12.4,12.417602
1141,11.1,11.0
1142,14.6,13.196526
1143,13.3,13.961255
1144,14.7,13.765334
1145,14.8,13.859861
1146,11.2,11.265696
1147,12.1,12.092944
1148,14.7,13.84091
1149,13.8,13.516108
1150,12.3,12.348134
1151,13.5,14.060163
1152,12.4,13.834244
1153,12.8,13.125982
1154,11.8,11.623221
1155,11.0,11.0
1156,11.2,11.0
1157,13.1,13.921229
1158,12.8,13.2735615
1159,14.2,13.886182
1160,14.5,13.910444
1161,13.7,13.688527
1162,12.3,12.267441
1163,13.9,14.017647
1164,12.2,12.21038
1165,12.3,12.332918
1166,11.3,11.367984
1167,12.7,13.802616
1168,11.4,11.212437
1169,11.6,11.440955
1170,11.3,11.127532
1171,12.0,11.94836
1172,11.6,11.676143
1173,13.7,13.815415
1174,13.5,13.91589
1175,11.7,11.0
1176,11.5,11.166699
1177,12.8,13.497576
1178,13.2,13.923237
1179,12.9,13.838557
1180,11.6,11.520574
1181,13.5,13.642441
1182,12.2,12.168299
1183,14.2,13.697657
1184,13.1,13.487541
1185,14.4,13.861494
1186,11.4,11.0
1187,14.8,13.7956085
1188,14.2,13.910934
1189,13.9,13.606284
1190,12.9,13.905734
1191,13.8,14.011225
1192,12.0,12.048631
1193,15.0,13.713993
1194,14.4,13.939153
1195,14.0,13.8329525
1196,12.0,11.926097
1197,11.1,11.0
1198,13.0,13.710882
1199,12.3,12.245821
1200,11.7,11.666982
1201,12.1,12.10155
1202,14.4,13.943265
1203,14.6,14.004835
1204,11.2,11.317058
1205,11.4,11.239101
1206,13.8,13.9753275
1207,13.9,13.965252
1208,13.5,13.442436
1209,12.5,12.457108
1210,13.9,13.77602
1211,12.8,13.541954
1212,13.0,13.912792
1213,14.2,13.33121
1214,14.7,13.629513
1215,14.4,13.669069
1216,12.5,12.341849
1217,11.5,11.511764
1218,12.5,12.713364
1219,12.8,13.848942
1220,12.9,13.629618
1221,12.0,12.081183
1222,11.1,11.0
1223,11.4,11.382653
1224,13.0,14.043062
1225,11.6,11.461158
1226,14.4,13.969136
1227,14.7,14.059439
1228,13.3,13.78004
1229,12.0,12.050173
1230,11.8,11.947346
1231,13.1,13.911467
1232,14.7,13.772707
1233,11.0,11.0
1234,13.9,13.724455
1235,11.7,11.613973
1236,11.4,11.825514
1237,14.9,14.02142
1238,14.2,13.808657
1239,11.3,11.349932
1240,11.5,11.38032
1241,14.3,13.886398
1242,14.4,13.817251
1243,13.7,13.979225
1244,14.1,13.975031
1245,11.3,11.058885
1246,12.9,13.644079
